,task_uuid,level_number,chat,phrase,reference_type,valence,compound,features,notes
883,A3GIIL73GE2CBQ:3M0NZ3JDP3M4K1RM3VSSEUX29KUZ5O,6,:(,,trajectory,negative,,,
886,A3GIIL73GE2CBQ:3M0NZ3JDP3M4K1RM3VSSEUX29KUZ5O,9,:),,trajectory,positive,,,
567,A2MWAXV1YRK5GH:3AWETUDC94GGWPM1AFBM3317E60ZIY,10,4 white circles on the right would've given 20pts,,features,positive,,"white, circle",
780,A31XNLA9REVGXL:33LKR6A5KG89A7H4WG1YPGJ4C841TT,6,5 in the middle of the three. 10 right below where you finished,5 in the middle of the three. ,object_spatial,positive,,,
780,A31XNLA9REVGXL:33LKR6A5KG89A7H4WG1YPGJ4C841TT,6,5 in the middle of the three. 10 right below where you finished,10 right below where you finished,object_behavior,positive,,,
724,A2ZBDSR2LZNVAE:3UXUOQ9OKGLI6XXXFWRQVLKPR7HA7G,10,a good choice. The top right would have been better,a good choice,trajectory,positive,,,
724,A2ZBDSR2LZNVAE:3UXUOQ9OKGLI6XXXFWRQVLKPR7HA7G,10,a good choice. The top right would have been better,The top right would have been better,object_spatial,positive,,,
1110,AIPHJXQEDNW9L:3BV8HQ2ZZYPZ2XJSWMMYP7KTWUZ6AB,7,all circles,,features,positive,,circle,
1024,A4ZPIPBDO624H:39LNWE0K4WKZAQSR4SCEMBMSCOLUI4,8,all circles are positive points,,features,positive,,circle,
667,A2TBXASXZIRNNW:3A1COHJ8NLJ1GYAUV7TOQ73OFNNH8X,3,all circles but pink and white especially,,features,positive,,"pink, white, circle",
40,A13V6ZYVF3A7EW:3RYC5T2D75HZBKNEDT7TQX0KR5CRPD,6,"all circles hace point, the yellow ones have more points",,features,positive,yes,"yellow, circle",
781,A31XNLA9REVGXL:33LKR6A5KG89A7H4WG1YPGJ4C841TT,7,All negatives.,,trajectory,negative,,,
784,A31XNLA9REVGXL:33LKR6A5KG89A7H4WG1YPGJ4C841TT,10,All of those were worth 5!,,object_behavior,positive,,,
1174,AMX5R6NLYNA2K:35BLDD71I8LLIV619MA5ISR1MAXVZW,3,all red is negative for me,,features,negative,,,
920,A3H6KECCE83132:3YOH7BII0BVQT07F9L7VVD3OIEDKVI,2,all safe there,,object_spatial,positive,,,
